Date,Open,High,Low,Close,Volume,Change,RSI,Stochastic RSI
2017-12-01,162029,166836,160427,166436,153285,0.03875127163337022,,
2017-12-04,167637,169840,165835,168038,136027,0.00962532144487982,,
2017-12-05,168237,168837,166435,166836,64004,-0.007153143931729722,,
2017-12-06,166835,167035,165033,165434,69199,-0.008403462082524182,,
2017-12-07,167035,169838,166034,167637,155000,0.013316488750800826,,
2017-12-08,167236,167836,164432,166235,58893,-0.008363308816072834,,
2017-12-11,166234,167235,164231,165434,57600,-0.004818479862844782,,
2017-12-12,164633,169240,164633,165835,73019,0.0024239273668049677,,
2017-12-13,166034,168638,165033,168438,71600,0.015696324660053662,,
2017-12-14,168639,170041,167237,167237,143097,-0.007130220021610345,,
2017-12-15,168437,169038,167636,169039,91136,0.010775127513648286,,
2017-12-18,169039,173245,168238,172244,118097,0.018960121628736504,,
2017-12-19,172843,174245,170240,171242,79667,-0.005817328905506125,,
2017-12-20,172044,173846,170041,170041,68341,-0.007013466322514317,59.000349528137015,
2017-12-21,170041,170842,167036,168639,82697,-0.008245070306573066,55.14023052872276,
2017-12-22,170240,173044,168838,172644,87458,0.02374895486809092,59.66347767707284,
2017-12-26,173245,176250,172044,175048,103805,0.01392460786358063,66.40169369657266,
2017-12-27,174647,175849,173446,175649,57356,0.0034333439970750668,71.07663104031693,
2017-12-28,176250,176450,172244,174247,65370,-0.007981827394405894,64.10464322294298,
2018-01-02,174447,177251,174247,177251,93587,0.01723989509145074,72.00207717504195,
2018-01-03,175448,177051,173045,174447,84790,-0.01581937478490958,66.66789954506787,
2018-01-04,176048,179653,174847,178853,130112,0.025256954834419698,70.96836544037112,
2018-01-05,178852,183858,176249,181857,136811,0.016795916199336958,71.33861272779315,
2018-01-08,183258,190869,181856,190269,196338,0.04625612431745818,79.79251823873338,
2018-01-09,189068,190670,186865,189068,78027,-0.006312116004183577,76.3172417417812,
2018-01-10,188865,195275,185662,185863,120097,-0.016951572979034046,67.89477833547946,
2018-01-11,185861,187063,182057,183660,93854,-0.011852816321699322,65.81749630610892,0.4331146018975925
2018-01-12,184261,186264,180455,182058,89414,-0.008722639660241782,65.15193544319757,0.40611666682801745
2018-01-15,183659,185261,182457,184461,59200,0.013199090399762747,69.45838252656435,0.4866056491608302
2018-01-16,184059,185060,178852,180856,95302,-0.01954342652376384,60.199721780604136,0.0
2018-01-17,180856,181457,177852,177852,107026,-0.016609899588623023,53.43156451928725,0.0
